Year,Taxes,Land,added_to,Additions,equals,Total_assessments,listing_page
2017,"$4,890",N/A,+,N/A,=,"$199,366",https://www.realtor.com/realestateandhomes-detail/2610-Baxter-Dr_Austin_TX_78745_M78019-48934
2016,"$4,577",N/A,+,N/A,=,"$181,242",https://www.realtor.com/realestateandhomes-detail/2610-Baxter-Dr_Austin_TX_78745_M78019-48934
2022,"$8,105",N/A,+,N/A,=,"$338,522",https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
2021,"$7,537","$175,000",+,"$132,747",=,"$307,747",https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
2020,"$6,600",N/A,+,N/A,=,"$282,275",https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
2019,"$6,200",N/A,+,N/A,=,"$256,614",https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
2018,"$5,681",N/A,+,N/A,=,"$233,285",https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
2017,"$5,202",N/A,+,N/A,=,"$212,077",https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
2016,"$4,869",N/A,+,N/A,=,"$192,797",https://www.realtor.com/realestateandhomes-detail/2511-Berkett-Dr_Austin_TX_78745_M79524-28810
2022,"$7,827",N/A,+,N/A,=,"$326,897",https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
2021,"$7,278","$175,000",+,"$122,179",=,"$297,179",https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
2020,"$6,374","$175,000",+,"$122,179",=,"$297,179",https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
2019,"$6,527","$175,000",+,"$145,613",=,"$320,613",https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
2018,"$7,098","$150,000",+,"$130,631",=,"$280,631",https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
2017,"$6,258","$75,000",+,"$146,960",=,"$221,960",https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
2016,"$5,096","$75,000",+,"$144,733",=,"$219,733",https://www.realtor.com/realestateandhomes-detail/5703-Buffalo-Pass_Austin_TX_78745_M87049-93179
2022,"$9,843",N/A,+,N/A,=,"$425,630",https://www.realtor.com/realestateandhomes-detail/1408-Homespun-Rd_Austin_TX_78745_M73363-46320
2021,"$9,477",N/A,+,N/A,=,"$386,936",https://www.realtor.com/realestateandhomes-detail/1408-Homespun-Rd_Austin_TX_78745_M73363-46320
2020,"$8,299",N/A,+,N/A,=,"$351,760",https://www.realtor.com/realestateandhomes-detail/1408-Homespun-Rd_Austin_TX_78745_M73363-46320
2019,"$7,726","$46,743",+,"$273,039",=,"$319,782",https://www.realtor.com/realestateandhomes-detail/1408-Homespun-Rd_Austin_TX_78745_M73363-46320
2018,"$7,079","$46,743",+,"$265,412",=,"$312,155",https://www.realtor.com/realestateandhomes-detail/1408-Homespun-Rd_Austin_TX_78745_M73363-46320
2016,"$3,953","$46,743",+,N/A,=,"$46,743",https://www.realtor.com/realestateandhomes-detail/1408-Homespun-Rd_Austin_TX_78745_M73363-46320
2022,"$12,799","$175,000",+,"$200,232",=,"$375,232",https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
2021,"$8,622","$175,000",+,"$146,500",=,"$321,500",https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
2020,"$6,895","$175,000",+,"$153,326",=,"$328,326",https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
2019,"$7,211","$175,000",+,"$176,750",=,"$351,750",https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
2018,"$7,787","$157,500",+,"$167,506",=,"$325,006",https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
2017,"$7,248","$78,750",+,"$188,445",=,"$267,195",https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
2016,"$6,135","$78,750",+,"$185,589",=,"$264,339",https://www.realtor.com/realestateandhomes-detail/2613-Coatbridge-Dr_Austin_TX_78745_M70039-23782
2022,"$6,649",N/A,+,N/A,=,"$277,698",https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
2021,"$6,183",N/A,+,N/A,=,"$252,453",https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
2020,"$5,414",N/A,+,N/A,=,"$229,503",https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
2019,"$5,041",N/A,+,N/A,=,"$208,639",https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
2018,"$4,619",N/A,+,N/A,=,"$189,672",https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
2017,"$4,229",N/A,+,N/A,=,"$172,429",https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
2016,"$3,959",N/A,+,N/A,=,"$156,754",https://www.realtor.com/realestateandhomes-detail/5702-Cherry-Cv_Austin_TX_78745_M72637-58747
2022,"$7,635",N/A,+,N/A,=,"$318,909",https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
2021,"$7,101",N/A,+,N/A,=,"$289,917",https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
2020,"$6,218",N/A,+,N/A,=,"$263,561",https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
2019,"$5,789","$125,000",+,"$174,483",=,"$299,483",https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
2018,"$6,630",N/A,+,N/A,=,"$217,819",https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
2017,"$4,857",N/A,+,N/A,=,"$198,017",https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
2016,"$4,546",N/A,+,N/A,=,"$180,015",https://www.realtor.com/realestateandhomes-detail/6214-Woodhue-Dr_Austin_TX_78745_M89432-18422
2022,"$6,925","$125,000",+,"$164,256",=,"$289,256",https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
2021,"$6,440","$125,000",+,"$116,400",=,"$241,400",https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
2020,"$5,177","$125,000",+,"$116,400",=,"$241,400",https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
2019,"$5,304","$125,000",+,"$110,441",=,"$235,441",https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
2018,"$5,212","$100,000",+,"$98,021",=,"$198,021",https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
2017,"$4,601","$100,000",+,"$82,321",=,"$182,321",https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
2016,"$4,306","$50,000",+,"$103,048",=,"$153,048",https://www.realtor.com/realestateandhomes-detail/1103-Dunstan-Dr_Austin_TX_78745_M80014-38079
2022,"$4,653",N/A,+,N/A,=,"$194,358",https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
2021,"$4,327",N/A,+,N/A,=,"$176,689",https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
2020,"$3,789",N/A,+,N/A,=,"$160,626",https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
2019,"$3,528",N/A,+,N/A,=,"$146,024",https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
2018,"$3,232",N/A,+,N/A,=,"$132,749",https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
2017,"$2,960",N/A,+,N/A,=,"$120,681",https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
2016,"$2,770",N/A,+,N/A,=,"$109,710",https://www.realtor.com/realestateandhomes-detail/6304-Bexton-Cir_Austin_TX_78745_M79904-63672
2022,"$12,631","$183,750",+,"$185,850",=,"$369,600",https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
2021,"$8,229","$183,750",+,"$147,181",=,"$330,931",https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
2020,"$7,098","$183,750",+,"$147,181",=,"$330,931",https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
2019,"$7,268","$157,500",+,"$153,488",=,"$310,988",https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
2018,"$6,885","$100,000",+,"$157,554",=,"$257,554",https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
2017,"$5,743","$100,000",+,"$139,173",=,"$239,173",https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
2016,"$5,491","$55,000",+,"$161,594",=,"$216,594",https://www.realtor.com/realestateandhomes-detail/6801-Bissel-Cir_Austin_TX_78745_M80829-01430
2022,"$12,865","$108,500",+,"$428,836",=,"$537,336",https://www.realtor.com/realestateandhomes-detail/1125-Denfield-St-Apt-1_Austin_TX_78721_M89121-93468
2021,"$11,964","$108,500",+,"$411,792",=,"$520,292",https://www.realtor.com/realestateandhomes-detail/1125-Denfield-St-Apt-1_Austin_TX_78721_M89121-93468
2022,"$7,478","$175,000",+,"$38,859",=,"$213,859",https://www.realtor.com/realestateandhomes-detail/4604-Santa-Anna-St_Austin_TX_78721_M76478-61782
2021,"$4,761","$175,000",+,"$18,241",=,"$193,241",https://www.realtor.com/realestateandhomes-detail/4604-Santa-Anna-St_Austin_TX_78721_M76478-61782
2020,"$4,144","$175,000",+,"$18,241",=,"$193,241",https://www.realtor.com/realestateandhomes-detail/4604-Santa-Anna-St_Austin_TX_78721_M76478-61782
2019,"$4,244","$175,000",+,"$25,111",=,"$200,111",https://www.realtor.com/realestateandhomes-detail/4604-Santa-Anna-St_Austin_TX_78721_M76478-61782
2018,"$4,430","$140,000",+,"$45,022",=,"$185,022",https://www.realtor.com/realestateandhomes-detail/4604-Santa-Anna-St_Austin_TX_78721_M76478-61782
2017,"$4,126","$75,000",+,"$51,149",=,"$126,149",https://www.realtor.com/realestateandhomes-detail/4604-Santa-Anna-St_Austin_TX_78721_M76478-61782
2016,"$2,896","$75,000",+,"$43,342",=,"$118,342",https://www.realtor.com/realestateandhomes-detail/4604-Santa-Anna-St_Austin_TX_78721_M76478-61782
2022,"$10,607","$175,000",+,"$167,123",=,"$342,123",https://www.realtor.com/realestateandhomes-detail/5702-Tura-Ln_Austin_TX_78721_M86649-20825
2021,"$7,617","$175,000",+,"$71,176",=,"$246,176",https://www.realtor.com/realestateandhomes-detail/5702-Tura-Ln_Austin_TX_78721_M86649-20825
2020,"$5,280","$175,000",+,"$71,176",=,"$246,176",https://www.realtor.com/realestateandhomes-detail/5702-Tura-Ln_Austin_TX_78721_M86649-20825
2019,"$5,407","$175,000",+,"$88,688",=,"$263,688",https://www.realtor.com/realestateandhomes-detail/5702-Tura-Ln_Austin_TX_78721_M86649-20825
2018,"$5,838","$140,000",+,"$98,642",=,"$238,642",https://www.realtor.com/realestateandhomes-detail/5702-Tura-Ln_Austin_TX_78721_M86649-20825
2017,"$5,322","$75,000",+,"$112,067",=,"$187,067",https://www.realtor.com/realestateandhomes-detail/5702-Tura-Ln_Austin_TX_78721_M86649-20825
2016,"$4,295","$75,000",+,"$97,265",=,"$172,265",https://www.realtor.com/realestateandhomes-detail/5702-Tura-Ln_Austin_TX_78721_M86649-20825
2022,"$5,282",N/A,+,N/A,=,"$220,629",https://www.realtor.com/realestateandhomes-detail/1035-Springdale-Rd-C_Austin_TX_78721_M71465-80622
2021,"$4,912","$157,500",+,"$43,072",=,"$200,572",https://www.realtor.com/realestateandhomes-detail/1035-Springdale-Rd-C_Austin_TX_78721_M71465-80622
2020,"$4,302","$157,500",+,"$69,993",=,"$227,493",https://www.realtor.com/realestateandhomes-detail/1035-Springdale-Rd-C_Austin_TX_78721_M71465-80622
2019,"$4,996","$157,500",+,"$92,463",=,"$249,963",https://www.realtor.com/realestateandhomes-detail/1035-Springdale-Rd-C_Austin_TX_78721_M71465-80622
2018,"$5,534","$126,000",+,"$102,118",=,"$228,118",https://www.realtor.com/realestateandhomes-detail/1035-Springdale-Rd-C_Austin_TX_78721_M71465-80622
2017,"$5,087","$67,500",+,"$116,016",=,"$183,516",https://www.realtor.com/realestateandhomes-detail/1035-Springdale-Rd-C_Austin_TX_78721_M71465-80622
2016,"$4,213",N/A,+,N/A,=,"$127,433",https://www.realtor.com/realestateandhomes-detail/1035-Springdale-Rd-C_Austin_TX_78721_M71465-80622
2022,"$10,668",N/A,+,N/A,=,"$445,580",https://www.realtor.com/realestateandhomes-detail/1312-Delano-St_Austin_TX_78721_M85401-75331
2021,"$9,921","$175,000",+,"$230,073",=,"$405,073",https://www.realtor.com/realestateandhomes-detail/1312-Delano-St_Austin_TX_78721_M85401-75331
2020,"$8,688",N/A,+,N/A,=,"$372,394",https://www.realtor.com/realestateandhomes-detail/1312-Delano-St_Austin_TX_78721_M85401-75331
2019,"$8,179",N/A,+,N/A,=,"$338,540",https://www.realtor.com/realestateandhomes-detail/1312-Delano-St_Austin_TX_78721_M85401-75331
2018,"$7,495",N/A,+,N/A,=,"$307,764",https://www.realtor.com/realestateandhomes-detail/1312-Delano-St_Austin_TX_78721_M85401-75331
2017,"$6,863",N/A,+,N/A,=,"$279,785",https://www.realtor.com/realestateandhomes-detail/1312-Delano-St_Austin_TX_78721_M85401-75331
2016,"$6,424","$75,000",+,"$179,350",=,"$254,350",https://www.realtor.com/realestateandhomes-detail/1312-Delano-St_Austin_TX_78721_M85401-75331
2022,"$10,550","$63,000",+,"$274,823",=,"$337,823",https://www.realtor.com/realestateandhomes-detail/1128-Mason-Ave-2_Austin_TX_78721_M75168-28520
2021,"$7,522","$63,000",+,"$242,423",=,"$305,423",https://www.realtor.com/realestateandhomes-detail/1128-Mason-Ave-2_Austin_TX_78721_M75168-28520
2022,"$10,254","$192,500",+,"$125,902",=,"$318,402",https://www.realtor.com/realestateandhomes-detail/1143-Brookswood-Ave_Austin_TX_78721_M89708-51379
2021,"$7,089","$192,500",+,"$52,478",=,"$244,978",https://www.realtor.com/realestateandhomes-detail/1143-Brookswood-Ave_Austin_TX_78721_M89708-51379
2020,"$5,254","$192,500",+,"$52,478",=,"$244,978",https://www.realtor.com/realestateandhomes-detail/1143-Brookswood-Ave_Austin_TX_78721_M89708-51379
2019,"$5,380","$192,500",+,"$39,967",=,"$232,467",https://www.realtor.com/realestateandhomes-detail/1143-Brookswood-Ave_Austin_TX_78721_M89708-51379
2018,"$5,818","$140,000",+,"$62,940",=,"$202,940",https://www.realtor.com/realestateandhomes-detail/1143-Brookswood-Ave_Austin_TX_78721_M89708-51379
2017,"$5,037","$75,000",+,"$97,569",=,"$172,569",https://www.realtor.com/realestateandhomes-detail/1143-Brookswood-Ave_Austin_TX_78721_M89708-51379
2016,"$3,962","$75,000",+,"$83,982",=,"$158,982",https://www.realtor.com/realestateandhomes-detail/1143-Brookswood-Ave_Austin_TX_78721_M89708-51379
2022,"$8,598","$134,750",+,"$72,170",=,"$206,920",https://www.realtor.com/realestateandhomes-detail/1416-Fort-Branch-Blvd-1_Austin_TX_78721_M99763-58737
2021,"$4,607","$134,750",+,"$34,455",=,"$169,205",https://www.realtor.com/realestateandhomes-detail/1416-Fort-Branch-Blvd-1_Austin_TX_78721_M99763-58737
2020,"$3,629","$134,750",+,"$34,455",=,"$169,205",https://www.realtor.com/realestateandhomes-detail/1416-Fort-Branch-Blvd-1_Austin_TX_78721_M99763-58737
2019,"$3,716","$134,750",+,"$58,734",=,"$193,484",https://www.realtor.com/realestateandhomes-detail/1416-Fort-Branch-Blvd-1_Austin_TX_78721_M99763-58737
2018,"$4,283","$107,800",+,"$64,910",=,"$172,710",https://www.realtor.com/realestateandhomes-detail/1416-Fort-Branch-Blvd-1_Austin_TX_78721_M99763-58737
2017,"$3,851","$57,750",+,"$73,743",=,"$131,493",https://www.realtor.com/realestateandhomes-detail/1416-Fort-Branch-Blvd-1_Austin_TX_78721_M99763-58737
2016,"$3,019","$57,750",+,"$52,837",=,"$110,587",https://www.realtor.com/realestateandhomes-detail/1416-Fort-Branch-Blvd-1_Austin_TX_78721_M99763-58737
2022,"$8,941","$175,000",+,"$98,842",=,"$273,842",https://www.realtor.com/realestateandhomes-detail/1105-Richardine-Ave_Austin_TX_78721_M70803-52225
2021,"$6,097","$175,000",+,"$46,792",=,"$221,792",https://www.realtor.com/realestateandhomes-detail/1105-Richardine-Ave_Austin_TX_78721_M70803-52225
2020,"$4,757","$175,000",+,"$46,792",=,"$221,792",https://www.realtor.com/realestateandhomes-detail/1105-Richardine-Ave_Austin_TX_78721_M70803-52225
2019,"$4,871","$175,000",+,"$58,511",=,"$233,511",https://www.realtor.com/realestateandhomes-detail/1105-Richardine-Ave_Austin_TX_78721_M70803-52225
2018,"$5,169","$140,000",+,"$64,580",=,"$204,580",https://www.realtor.com/realestateandhomes-detail/1105-Richardine-Ave_Austin_TX_78721_M70803-52225
2017,"$4,562","$75,000",+,"$73,369",=,"$148,369",https://www.realtor.com/realestateandhomes-detail/1105-Richardine-Ave_Austin_TX_78721_M70803-52225
2016,"$3,406","$75,000",+,"$62,170",=,"$137,170",https://www.realtor.com/realestateandhomes-detail/1105-Richardine-Ave_Austin_TX_78721_M70803-52225
2022,"$7,143",N/A,+,N/A,=,"$298,365",https://www.realtor.com/realestateandhomes-detail/1423-Berene-Ave_Austin_TX_78721_M81729-76178
2021,"$6,643",N/A,+,N/A,=,"$271,241",https://www.realtor.com/realestateandhomes-detail/1423-Berene-Ave_Austin_TX_78721_M81729-76178
2020,"$5,817",N/A,+,N/A,=,"$246,583",https://www.realtor.com/realestateandhomes-detail/1423-Berene-Ave_Austin_TX_78721_M81729-76178
2019,"$5,416",N/A,+,N/A,=,"$224,166",https://www.realtor.com/realestateandhomes-detail/1423-Berene-Ave_Austin_TX_78721_M81729-76178
2018,"$4,963",N/A,+,N/A,=,"$203,787",https://www.realtor.com/realestateandhomes-detail/1423-Berene-Ave_Austin_TX_78721_M81729-76178
2017,"$4,544",N/A,+,N/A,=,"$185,261",https://www.realtor.com/realestateandhomes-detail/1423-Berene-Ave_Austin_TX_78721_M81729-76178
2016,"$4,253",N/A,+,N/A,=,"$168,419",https://www.realtor.com/realestateandhomes-detail/1423-Berene-Ave_Austin_TX_78721_M81729-76178
2022,"$7,340",N/A,+,N/A,=,"$306,593",https://www.realtor.com/realestateandhomes-detail/4701-Bandera-Rd_Austin_TX_78721_M81934-92745
2021,"$6,826",N/A,+,N/A,=,"$278,721",https://www.realtor.com/realestateandhomes-detail/4701-Bandera-Rd_Austin_TX_78721_M81934-92745
2020,"$5,978",N/A,+,N/A,=,"$253,383",https://www.realtor.com/realestateandhomes-detail/4701-Bandera-Rd_Austin_TX_78721_M81934-92745
2019,"$5,565",N/A,+,N/A,=,"$230,348",https://www.realtor.com/realestateandhomes-detail/4701-Bandera-Rd_Austin_TX_78721_M81934-92745
2018,"$5,099",N/A,+,N/A,=,"$209,407",https://www.realtor.com/realestateandhomes-detail/4701-Bandera-Rd_Austin_TX_78721_M81934-92745
2017,"$4,670",N/A,+,N/A,=,"$190,370",https://www.realtor.com/realestateandhomes-detail/4701-Bandera-Rd_Austin_TX_78721_M81934-92745
2016,"$4,371",N/A,+,N/A,=,"$173,064",https://www.realtor.com/realestateandhomes-detail/4701-Bandera-Rd_Austin_TX_78721_M81934-92745
2022,"$8,709","$192,500",+,"$62,541",=,"$255,041",https://www.realtor.com/realestateandhomes-detail/4707-Reyes-St_Austin_TX_78721_M73511-33381
2021,"$5,678","$192,500",+,"$26,165",=,"$218,665",https://www.realtor.com/realestateandhomes-detail/4707-Reyes-St_Austin_TX_78721_M73511-33381
2020,"$4,690","$192,500",+,"$26,165",=,"$218,665",https://www.realtor.com/realestateandhomes-detail/4707-Reyes-St_Austin_TX_78721_M73511-33381
2019,"$4,803","$192,500",+,"$33,892",=,"$226,392",https://www.realtor.com/realestateandhomes-detail/4707-Reyes-St_Austin_TX_78721_M73511-33381
2018,"$5,012","$140,000",+,"$37,388",=,"$177,388",https://www.realtor.com/realestateandhomes-detail/4707-Reyes-St_Austin_TX_78721_M73511-33381
2017,"$3,956","$75,000",+,"$42,476",=,"$117,476",https://www.realtor.com/realestateandhomes-detail/4707-Reyes-St_Austin_TX_78721_M73511-33381
2016,"$2,697","$75,000",+,"$36,864",=,"$111,864",https://www.realtor.com/realestateandhomes-detail/4707-Reyes-St_Austin_TX_78721_M73511-33381
2022,"$7,878",N/A,+,N/A,=,"$156,097",https://www.realtor.com/realestateandhomes-detail/5204-Stone-Gate-Dr_Austin_TX_78721_M82245-28458
2021,"$3,475",N/A,+,N/A,=,"$141,906",https://www.realtor.com/realestateandhomes-detail/5204-Stone-Gate-Dr_Austin_TX_78721_M82245-28458
2020,"$3,043",N/A,+,N/A,=,"$129,005",https://www.realtor.com/realestateandhomes-detail/5204-Stone-Gate-Dr_Austin_TX_78721_M82245-28458
2019,"$2,833",N/A,+,N/A,=,"$117,277",https://www.realtor.com/realestateandhomes-detail/5204-Stone-Gate-Dr_Austin_TX_78721_M82245-28458
2018,"$2,596",N/A,+,N/A,=,"$106,615",https://www.realtor.com/realestateandhomes-detail/5204-Stone-Gate-Dr_Austin_TX_78721_M82245-28458
2017,"$2,377",N/A,+,N/A,=,"$96,923",https://www.realtor.com/realestateandhomes-detail/5204-Stone-Gate-Dr_Austin_TX_78721_M82245-28458
2016,"$2,225",N/A,+,N/A,=,"$88,112",https://www.realtor.com/realestateandhomes-detail/5204-Stone-Gate-Dr_Austin_TX_78721_M82245-28458
2022,"$9,168",N/A,+,N/A,=,"$382,924",https://www.realtor.com/realestateandhomes-detail/5202-Stone-Gate-Dr_Austin_TX_78721_M87817-58392
2021,"$8,526",N/A,+,N/A,=,"$348,113",https://www.realtor.com/realestateandhomes-detail/5202-Stone-Gate-Dr_Austin_TX_78721_M87817-58392
